county,2020,2021,2022,2023,2024
Adams County,65622.0,65077.0,64526.0,64435.0,64109.0
Alexander County,5172.0,5028.0,4859.0,4723.0,4594.0
Bond County,16856.0,16797.0,16716.0,16637.0,16576.0
Boone County,53339.0,53173.0,53084.0,53239.0,53313.0
Brown County,6237.0,6444.0,6321.0,6301.0,6307.0
Bureau County,33225.0,32999.0,32862.0,32758.0,32486.0
Calhoun County,4403.0,4392.0,4335.0,4293.0,4224.0
Carroll County,15678.0,15712.0,15553.0,15492.0,15444.0
Cass County,12976.0,12778.0,12672.0,12779.0,12713.0
Champaign County,206252.0,207232.0,208033.0,209813.0,212374.0
Christian County,33982.0,33731.0,33410.0,33319.0,33247.0
Clark County,15448.0,15375.0,15211.0,15218.0,15076.0
Clay County,13273.0,13166.0,13053.0,12945.0,12821.0
Clinton County,36913.0,36898.0,36987.0,36886.0,37087.0
Coles County,47084.0,47136.0,46708.0,46532.0,46423.0
Cook County,5267072.0,5185134.0,5133106.0,5142522.0,5182617.0
Crawford County,18637.0,18673.0,18516.0,18342.0,18388.0
Cumberland County,10437.0,10358.0,10296.0,10272.0,10305.0
DeKalb County,100368.0,100584.0,100569.0,100661.0,101335.0
De Witt County,15464.0,15410.0,15341.0,15331.0,15319.0
Douglas County,19780.0,19714.0,19702.0,19733.0,19824.0
DuPage County,931508.0,927145.0,925143.0,929180.0,937142.0
Edgar County,16808.0,16601.0,16426.0,16442.0,16398.0
Edwards County,6209.0,6087.0,6073.0,6021.0,5984.0
Effingham County,34707.0,34514.0,34336.0,34453.0,34602.0
Fayette County,21485.0,21438.0,21284.0,21209.0,21157.0
Ford County,13511.0,13480.0,13270.0,13316.0,13451.0
Franklin County,37717.0,37484.0,37226.0,37156.0,37033.0
Fulton County,33554.0,33344.0,33022.0,32664.0,32510.0
Gallatin County,4945.0,4908.0,4842.0,4708.0,4690.0
Greene County,11935.0,11848.0,11643.0,11572.0,11417.0
Grundy County,52535.0,52984.0,53153.0,53587.0,53835.0
Hamilton County,7993.0,7908.0,7976.0,7886.0,7818.0
Hancock County,17558.0,17395.0,17250.0,17195.0,17008.0
Hardin County,3646.0,3640.0,3588.0,3599.0,3550.0
Henderson County,6335.0,6309.0,6168.0,6105.0,6048.0
Henry County,49178.0,48929.0,48567.0,48362.0,48177.0
Iroquois County,26966.0,26761.0,26417.0,26033.0,26067.0
Jackson County,53264.0,52986.0,53004.0,52867.0,53199.0
Jasper County,9255.0,9210.0,9185.0,9156.0,9092.0
Jefferson County,37000.0,36899.0,36415.0,36331.0,36107.0
Jersey County,21492.0,21350.0,21222.0,21158.0,21150.0
Jo Daviess County,22098.0,22016.0,21863.0,21749.0,21528.0
Johnson County,13322.0,13481.0,13401.0,13355.0,13320.0
Kane County,516403.0,516564.0,515070.0,517241.0,520997.0
Kankakee County,107403.0,106757.0,106221.0,106386.0,106410.0
Kendall County,132351.0,135023.0,137602.0,140229.0,143171.0
Knox County,49806.0,49333.0,48713.0,48663.0,48716.0
Lake County,713426.0,712733.0,712143.0,714207.0,718604.0
LaSalle County,109409.0,109166.0,108210.0,108397.0,108390.0
Lawrence County,15283.0,15246.0,14937.0,14886.0,14801.0
Lee County,34063.0,34202.0,33928.0,33606.0,33544.0
Livingston County,35816.0,35799.0,35513.0,35321.0,35375.0
Logan County,27905.0,27978.0,27654.0,27508.0,27518.0
McDonough County,27116.0,26906.0,26965.0,26952.0,26662.0
McHenry County,309973.0,311669.0,311921.0,313435.0,315959.0
McLean County,171236.0,171411.0,171571.0,171493.0,172069.0
Macon County,103764.0,102619.0,101369.0,100754.0,100737.0
Macoupin County,44924.0,44563.0,44239.0,44127.0,43895.0
Madison County,265749.0,265001.0,263981.0,263442.0,263017.0
Marion County,37657.0,37390.0,36878.0,36640.0,36437.0
Marshall County,11710.0,11665.0,11657.0,11650.0,11552.0
Mason County,13053.0,12826.0,12717.0,12588.0,12543.0
Massac County,14137.0,13953.0,13858.0,13751.0,13627.0
Menard County,12272.0,12170.0,12076.0,11996.0,11963.0
Mercer County,15632.0,15583.0,15512.0,15456.0,15292.0
Monroe County,34953.0,35007.0,35107.0,35144.0,34969.0
Montgomery County,28242.0,28128.0,27971.0,27756.0,27615.0
Morgan County,33494.0,33289.0,32931.0,32773.0,32618.0
Moultrie County,14492.0,14573.0,14361.0,14327.0,14365.0
Ogle County,51762.0,51540.0,51437.0,51391.0,51345.0
Peoria County,181512.0,179847.0,178503.0,178735.0,179630.0
Perry County,20892.0,21027.0,20503.0,20499.0,20272.0
Piatt County,16683.0,16764.0,16678.0,16720.0,16628.0
Pike County,14637.0,14621.0,14492.0,14339.0,14258.0
Pope County,3758.0,3763.0,3757.0,3715.0,3703.0
Pulaski County,5179.0,5093.0,4966.0,4957.0,4879.0
Putnam County,5631.0,5589.0,5562.0,5588.0,5633.0
Randolph County,30084.0,30207.0,30101.0,29993.0,29903.0
Richland County,15805.0,15784.0,15536.0,15502.0,15362.0
Rock Island County,144360.0,142943.0,141812.0,141939.0,142731.0
St Clair County,257070.0,255210.0,252947.0,252094.0,251149.0
Saline County,23741.0,23368.0,23141.0,22988.0,22826.0
Sangamon County,196223.0,195468.0,194483.0,194216.0,194345.0
Schuyler County,6870.0,6835.0,6755.0,6725.0,6750.0
Scott County,5074.0,4984.0,4898.0,4850.0,4880.0
Shelby County,20907.0,20853.0,20706.0,20593.0,20542.0
Stark County,5388.0,5291.0,5324.0,5267.0,5272.0
Stephenson County,44573.0,44130.0,43702.0,43347.0,43088.0
Tazewell County,131296.0,130640.0,129859.0,129835.0,129821.0
Union County,17298.0,17035.0,16901.0,16866.0,16886.0
Vermilion County,74010.0,73175.0,72089.0,71551.0,71106.0
Wabash County,11315.0,11209.0,11061.0,11032.0,10979.0
Warren County,16832.0,16595.0,16368.0,16224.0,16217.0
Washington County,13731.0,13651.0,13650.0,13570.0,13535.0
Wayne County,16161.0,15995.0,15903.0,15875.0,15928.0
White County,13814.0,13767.0,13636.0,13482.0,13395.0
Whiteside County,55574.0,55320.0,54602.0,54582.0,54657.0
Will County,696909.0,699327.0,699110.0,703383.0,708583.0
Williamson County,67121.0,66895.0,66565.0,66737.0,67064.0
Winnebago County,284963.0,283413.0,282081.0,282214.0,283790.0
Woodford County,38407.0,38220.0,38254.0,38387.0,38290.0
